Ticker,MarketCap,Sector
FAST,53574041600.0,Industrials
FE,27531538432.0,Utilities
FHN,12624985088.0,Financial Services
FITB,49052639232.0,Financial Services
FIVN,1389899264.0,Technology
FMC,1999970304.0,Basic Materials
FND,7617281024.0,Consumer Cyclical
FORM,7232345088.0,Technology
FSLY,1358046080.0,Technology
GEN,15522744320.0,Technology
GH,13640710144.0,Healthcare
GIS,25964103680.0,Consumer Defensive
GLOB,2653795328.0,Technology
GPC,20404725760.0,Consumer Cyclical
GTLB,5313019904.0,Technology
GWRE,11327955968.0,Technology
HBAN,37692133376.0,Financial Services
HCA,117476433920.0,Healthcare
HIG,39500648448.0,Financial Services
HLT,76132220928.0,Consumer Cyclical
HRL,13367606272.0,Consumer Defensive
HST,13882768384.0,Real Estate
HSY,46437793792.0,Consumer Defensive
HUM,21805508608.0,Healthcare
ICLR,11241961472.0,Healthcare
IDXX,51725438976.0,Healthcare
IFF,19672596480.0,Basic Materials
ILMN,18339483648.0,Healthcare
INCY,19642087424.0,Healthcare
INTU,117314977792.0,Technology
IOT,16098412544.0,Technology
IPGP,4672900608.0,Technology
IT,12109395968.0,Technology
ITW,85773877248.0,Industrials
KEY,25289080832.0,Financial Services
KEYS,40377024512.0,Technology
KKR,99278651392.0,Financial Services
KLAC,188001402880.0,Technology
KLIC,3916572672.0,Technology
KMB,35140841472.0,Consumer Defensive
KMX,6729908224.0,Consumer Cyclical
KR,45075369984.0,Consumer Defensive
KVYO,6377084416.0,Technology
LEN,29490219008.0,Consumer Cyclical
LH,23641950208.0,Healthcare
LIN,215937531904.0,Basic Materials
LKQ,8902343680.0,Consumer Cyclical
LRCX,284628942848.0,Technology
LSCC,12450651136.0,Technology
LULU,21419573248.0,Consumer Cyclical
LYFT,6848539648.0,Technology
MANH,9016441856.0,Technology
MAR,97548369920.0,Consumer Cyclical
MARA,2896892160.0,Financial Services
MAS,16292677632.0,Industrials
MCHP,41591672832.0,Technology
MCO,75144093696.0,Financial Services
MDLZ,78260248576.0,Consumer Defensive
MET,51340836864.0,Financial Services
MKSI,16961635328.0,Technology
MMC,89819709440.0,Financial Services
MOH,6447101952.0,Healthcare
MOS,9560325120.0,Basic Materials
MRNA,16408858624.0,Healthcare
MSCI,38746451968.0,Financial Services
MSTR,38482837504.0,Technology
MTB,36912369664.0,Financial Services
MTD,28606562304.0,Healthcare
NBIX,13724488704.0,Healthcare
NCLH,10725866496.0,Consumer Cyclical
NDAQ,47343849472.0,Financial Services
NEE,189163438080.0,Utilities
NI,21167691776.0,Utilities
NRG,33771579392.0,Utilities
NTR,34647998464.0,Basic Materials
NTRA,29514405888.0,Healthcare
NVR,22119530496.0,Consumer Cyclical
NVTS,2026061440.0,Technology
NXPI,59655352320.0,Technology
OLED,6158146560.0,Technology
ON,27556665344.0,Technology
ONTO,10809940992.0,Technology
ORLY,78873083904.0,Consumer Cyclical
OWL,20274876416.0,Financial Services
OZK,5655425024.0,Financial Services
PAG,10857694208.0,Consumer Cyclical
PAYC,7028698624.0,Technology
PAYX,35548545024.0,Technology
PCOR,8154394112.0,Technology
PD,729186880.0,Technology
PEG,41529610240.0,Utilities
PGR,118764126208.0,Financial Services
PHM,26767935488.0,Consumer Cyclical
PKG,21755070464.0,Consumer Cyclical
PNC,97168760832.0,Financial Services
PODD,17767780352.0,Healthcare
POOL,9976222720.0,Industrials
POWI,2534312704.0,Technology
PPL,26682392576.0,Utilities
PRU,36366266368.0,Financial Services
PTC,19363047424.0,Technology
QLYS,4092911872.0,Technology
QRVO,7816015872.0,Technology
RCL,94713208832.0,Consumer Cyclical
REGN,79808937984.0,Healthcare
RF,27025332224.0,Financial Services
RIOT,5513900544.0,Financial Services
RJF,31295029248.0,Financial Services
RMBS,11517488128.0,Technology
ROK,46389932032.0,Industrials
ROKU,13432114176.0,Communication Services
ROP,37548240896.0,Technology
S,4666401280.0,Technology
SEE,6169188352.0,Consumer Cyclical
SF,12782511104.0,Financial Services
SHAK,4087890688.0,Consumer Cyclical
SITM,10881853440.0,Technology
SJM,11670224896.0,Consumer Defensive
SMTC,8198123008.0,Technology
SNPS,83692150784.0,Technology
SO,99892240384.0,Utilities
SPOT,98009669632.0,Communication Services
SSNC,18384928768.0,Technology
STM,30199093248.0,Technology
SWKS,9369780224.0,Technology
SYNA,3352366592.0,Technology
TECH,10138174464.0,Healthcare
TENB,2773074432.0,Technology
TER,48499933184.0,Technology
TFC,70486474752.0,Financial Services
TGT,51451617280.0,Consumer Defensive
THC,17055276032.0,Healthcare
TMO,202807214080.0,Healthcare
TSCO,28560214016.0,Consumer Cyclical
TSN,22871050240.0,Consumer Defensive
TT,102305947648.0,Industrials
TTWO,39018319872.0,Communication Services
TWLO,18221774848.0,Technology
TXRH,12139197440.0,Consumer Cyclical
TYL,15596316672.0,Technology
UBER,153278267392.0,Technology
UHS,13541041152.0,Healthcare
ULTA,30457804800.0,Consumer Cyclical
UNFI,2362935808.0,Consumer Defensive
UPST,3790281216.0,Financial Services
USB,94155251712.0,Financial Services
VECO,1896946304.0,Technology
VEEV,30737764352.0,Healthcare
VRNS,3095983360.0,Technology
WAL,10446294016.0,Financial Services
WAT,19473281024.0,Healthcare
WDAY,40912408576.0,Technology
WEC,36751114240.0,Utilities
WING,7250123776.0,Consumer Cyclical
WRB,26571079680.0,Financial Services
XEL,45844332544.0,Utilities
XRAY,2779758848.0,Healthcare
YUM,44105154560.0,Consumer Cyclical
YUMC,20178851840.0,Consumer Cyclical
ZBH,18113794048.0,Healthcare
ZION,9461604352.0,Financial Services
ZM,28429496320.0,Technology
AAOI,3310891776.0,Technology
ACN,149366652928.0,Technology
AMKR,13214960640.0,Technology
APPF,6776903680.0,Technology
APPS,559932736.0,Technology
ARLO,1311124352.0,Industrials
ARRY,1773401472.0,Technology
ASX,49186627584.0,Technology
BAH,10847465472.0,Industrials
BELFB,3002958848.0,Technology
BLKB,2312910592.0,Technology
BR,20140318720.0,Technology
CACI,13821277184.0,Technology
CALX,3613393408.0,Technology
CAMT,7048003584.0,Technology
CIEN,42133401600.0,Technology
COHU,1518910720.0,Technology
COMM,4337923584.0,Technology
CSGS,2273655040.0,Technology
DELL,84451926016.0,Technology
DOX,8043714560.0,Technology
ENPH,6575700480.0,Technology
EXTR,2074464256.0,Technology
FICO,32752676864.0,Technology
FOUR,5300316160.0,Technology
FRSH,2544172288.0,Technology
FSLR,24277395456.0,Technology
GPN,20519260160.0,Industrials
GRMN,40117665792.0,Technology
HPE,31988758528.0,Technology
HPQ,18516443136.0,Technology
IBM,272718364672.0,Technology
ICHR,1556574208.0,Technology
INOD,1514988288.0,Technology
J,17850228736.0,Industrials
JKHY,12348986368.0,Technology
KBR,5643263488.0,Industrials
KN,2291437312.0,Technology
LDOS,24982056960.0,Technology
LOGI,13621095424.0,Technology
MGNI,1719465088.0,Communication Services
MRCY,5062834176.0,Industrials
MTCH,7817814016.0,Communication Services
NICE,7012005376.0,Technology
NTAP,21087686656.0,Technology
NVMI,13663854592.0,Technology
NXT,17736368128.0,Technology
OSIS,4653635584.0,Technology
OTEX,6630184960.0,Technology
PAR,943741504.0,Technology
PEGA,7361601024.0,Technology
PINS,13822969856.0,Communication Services
PLXS,5518011904.0,Technology
QTWO,3584845312.0,Technology
RAMP,1533937152.0,Technology
RPD,680345280.0,Technology
RUN,4793984000.0,Technology
SAIC,4506473984.0,Technology
SANM,8173805568.0,Technology
SEDG,2200044032.0,Technology
SNAP,8833218560.0,Communication Services
SONO,2109227904.0,Technology
STX,86407094272.0,Technology
TDC,2762234880.0,Technology
TRIP,1499933952.0,Consumer Cyclical
TTMI,9689322496.0,Technology
UCTT,2465880576.0,Technology
UI,43481767936.0,Technology
UMC,24949725184.0,Technology
VERX,2373776128.0,Technology
VIAV,6323870720.0,Technology
VRSN,20401416192.0,Technology
WDC,89769074688.0,Technology
WEX,5691894784.0,Technology
YELP,1534896384.0,Communication Services
Z,13242589184.0,Communication Services
ZG,13653958656.0,Communication Services
ACIW,4377407488.0,Technology
ADP,91215323136.0,Technology
ALKT,1820769536.0,Technology
AMN,782104576.0,Healthcare
AMPL,977245952.0,Technology
AVPT,2358577152.0,Technology
BABA,397514244096.0,Consumer Cyclical
BL,2743487232.0,Technology
COUR,990661056.0,Consumer Defensive
DLO,3860931072.0,Technology
DOCS,5128509440.0,Healthcare
DUOL,5579641856.0,Technology
ERIC,38255587328.0,Technology
GLBE,5585685504.0,Consumer Cyclical
HIMS,3924660224.0,Healthcare
IAC,2823983360.0,Communication Services
INTA,2092402432.0,Technology
KTOS,15783229440.0,Industrials
MNDY,3820478976.0,Technology
NCNO,2157628160.0,Technology
NOK,39524339712.0,Technology
OMCL,1791435776.0,Healthcare
OPEN,4473266176.0,Real Estate
PAYO,2161893376.0,Technology
QDEL,1984280064.0,Healthcare
RELY,2849296128.0,Technology
RNG,2503451648.0,Technology
RXRX,2006861568.0,Healthcare
SAP,247605444608.0,Technology
SDGR,1004049920.0,Healthcare
SE,67093618688.0,Consumer Cyclical
SPSC,2836712960.0,Technology
STNE,4767285248.0,Technology
TOST,17328359424.0,Technology
VRSK,23677497344.0,Industrials
WK,3926718208.0,Technology
TSM,1947169456128.0,Technology
CXM,1329638272.0,Technology
ABCB,5739837952.0,Financial Services
AES,11593329664.0,Utilities
AFG,10757266432.0,Financial Services
AG,11258574848.0,Basic Materials
AGCO,10483865600.0,Industrials
AGO,4109198336.0,Financial Services
AIZ,10973869056.0,Financial Services
AKR,2912949248.0,Real Estate
ALGT,2038301056.0,Industrials
ALK,6336232960.0,Industrials
AME,53063979008.0,Industrials
AMT,89951068160.0,Real Estate
AOS,11126806528.0,Industrials
APLE,2907865344.0,Real Estate
ARCB,2350150656.0,Industrials
ARE,9096537088.0,Real Estate
ASB,4622966272.0,Financial Services
ASH,2788302592.0,Basic Materials
AVA,3505494784.0,Utilities
AVB,24947613696.0,Real Estate
AVNT,3914345216.0,Basic Materials
AWK,26056151040.0,Utilities
AXS,7962020352.0,Financial Services
AYI,9387305984.0,Industrials
BANC,3109111296.0,Financial Services
BANR,2189082368.0,Financial Services
BC,5686392832.0,Consumer Cyclical
BEN,14093190144.0,Financial Services
BEP,20508545024.0,Utilities
BEPC,7880107008.0,Utilities
BKH,5588912640.0,Utilities
BKU,3661697280.0,Financial Services
BOKF,8489103360.0,Financial Services
BPOP,9509834752.0,Financial Services
BRX,8980014080.0,Real Estate
BXP,10882264064.0,Real Estate
CAG,9452580864.0,Consumer Defensive
CALM,3976253952.0,Consumer Defensive
CATY,3628392960.0,Financial Services
CC,3075782912.0,Basic Materials
CCI,39358590976.0,Real Estate
CDE,14398234624.0,Basic Materials
CE,6444362752.0,Basic Materials
CHRW,20793323520.0,Industrials
CL,78130700288.0,Consumer Defensive
CMI,83038822400.0,Industrials
CNP,27759960064.0,Utilities
CPA,6000812544.0,Industrials
CPT,11569556480.0,Real Estate
CRSR,723645632.0,Technology
CSX,76000083968.0,Industrials
CTRE,8934245376.0,Real Estate
CUBE,8923949056.0,Real Estate
CUZ,3773436928.0,Real Estate
CVBF,2790540032.0,Financial Services
CW,25226866688.0,Industrials
CWST,6585526784.0,Industrials
D,56793772032.0,Utilities
DAL,45066018816.0,Industrials
DD,21040941056.0,Basic Materials
DEI,2051946368.0,Real Estate
DOC,11607234560.0,Real Estate
DOV,31768799232.0,Industrials
DOW,23312683008.0,Basic Materials
DRH,2015630080.0,Real Estate
EIX,27500238848.0,Utilities
EME,35849400320.0,Industrials
EMN,9134709760.0,Basic Materials
EQIX,93950377984.0,Real Estate
EQR,25132861440.0,Real Estate
ESNT,6051943424.0,Financial Services
ESS,17356775424.0,Real Estate
EVRG,19036407808.0,Utilities
EWBC,16211712000.0,Financial Services
EXK,3456585728.0,Basic Materials
EXPD,19882764288.0,Industrials
EXR,32433588224.0,Real Estate
FBK,3154286592.0,Financial Services
FBP,3542525440.0,Financial Services
FDS,7700648448.0,Financial Services
FDX,88417230848.0,Industrials
FELE,4848961024.0,Industrials
FFBC,3167481344.0,Financial Services
FFIN,4794540032.0,Financial Services
FLO,2187806208.0,Consumer Defensive
FLS,11400990720.0,Industrials
FNB,6471527936.0,Financial Services
FNF,15395646464.0,Financial Services
FRT,9097189376.0,Real Estate
FTV,18072102912.0,Technology
FULT,3963089920.0,Financial Services
GGG,15695728640.0,Industrials
GO,1008850688.0,Consumer Defensive
GPRE,956792192.0,Basic Materials
GXO,7501681152.0,Industrials
HE,2903476480.0,Utilities
HEI,46356451328.0,Industrials
HII,16434053120.0,Industrials
HIW,2588865536.0,Real Estate
HL,15144230912.0,Basic Materials
HLI,11620195328.0,Financial Services
HR,6389993472.0,Real Estate
HUBB,27863058432.0,Industrials
HUBG,2427968512.0,Industrials
HUN,2295265536.0,Basic Materials
IBOC,4480151552.0,Financial Services
IDA,7796563968.0,Utilities
IEX,15841198080.0,Industrials
INDB,4148625408.0,Financial Services
INGR,7516250112.0,Consumer Defensive
IR,38926274560.0,Industrials
IVZ,11803864064.0,Financial Services
JBHT,21115619328.0,Industrials
JBLU,2149530368.0,Industrials
KEX,6971094016.0,Industrials
KHC,29356869632.0,Consumer Defensive
KIM,15379076096.0,Real Estate
KNSL,8651756544.0,Financial Services
KNX,9667288064.0,Industrials
KRC,3799002880.0,Real Estate
KWR,3119550976.0,Basic Materials
LECO,16207097856.0,Industrials
LNC,7764708864.0,Financial Services
LNT,18299654144.0,Utilities
LOB,1866153600.0,Financial Services
LUV,26431795200.0,Industrials
LYB,18543101952.0,Basic Materials
MAA,16269197312.0,Real Estate
MATX,5155543040.0,Industrials
MC,4891456512.0,Financial Services
MKC,19190648832.0,Consumer Defensive
MKTX,6701565952.0,Financial Services
MP,10284684288.0,Basic Materials
MPW,3019530240.0,Real Estate
MTG,5776342528.0,Financial Services
NBHC,1884970624.0,Financial Services
NEU,5570757120.0,Basic Materials
NHI,4254594560.0,Real Estate
NSA,4930355712.0,Real Estate
NSC,70726713344.0,Industrials
NWBI,1897942528.0,Financial Services
ODFL,40606588928.0,Industrials
OGE,9684248576.0,Utilities
OGS,5162317312.0,Utilities
OLN,2953465088.0,Basic Materials
ONB,9679447040.0,Financial Services
OR,8025117184.0,Basic Materials
ORA,7183800320.0,Utilities
ORI,10533946368.0,Financial Services
OSK,10949173248.0,Industrials
OTTR,3694390784.0,Industrials
PAAS,24449183744.0,Basic Materials
PAC,14350928896.0,Industrials
PB,7084541440.0,Financial Services
PCG,39915098112.0,Utilities
PK,2239031296.0,Real Estate
PLD,129084645376.0,Real Estate
PNR,16617712640.0,Industrials
PNW,11896029184.0,Utilities
POST,5836122112.0,Consumer Defensive
PPC,10290555904.0,Consumer Defensive
PPG,29643438080.0,Basic Materials
PRI,8007420416.0,Financial Services
PSA,52713361408.0,Real Estate
R,8428353536.0,Industrials
RDN,4446750720.0,Financial Services
REG,14225867776.0,Real Estate
RHP,6333169152.0,Real Estate
RLI,5661583872.0,Financial Services
RRX,14618342400.0,Industrials
RYAN,10246005760.0,Financial Services
SAIA,10255019008.0,Industrials
SBRA,5085778944.0,Real Estate
SBSW,12376632320.0,Basic Materials
SEIC,9627410432.0,Financial Services
SFBS,4705393664.0,Financial Services
SFM,6739196416.0,Consumer Defensive
SHO,1750907136.0,Real Estate
SHW,91976572928.0,Basic Materials
SIGI,5220555776.0,Financial Services
SKYW,4206202880.0,Industrials
SLG,3082136576.0,Real Estate
SMPL,1515236864.0,Consumer Defensive
SNDR,5036357632.0,Industrials
SPG,74240966656.0,Real Estate
SR,5427430400.0,Utilities
SVM,2424858880.0,Basic Materials
SWK,14103824384.0,Industrials
SWX,6350739968.0,Utilities
TCBI,4720459264.0,Financial Services
TDG,72662843392.0,Industrials
THS,1233715072.0,Consumer Defensive
TTC,9799279616.0,Industrials
TXT,17083592704.0,Industrials
UAL,35381325824.0,Industrials
UBSI,6149677056.0,Financial Services
UDR,14340467712.0,Real Estate
UFPI,6676277760.0,Basic Materials
UGI,8325895680.0,Utilities
UNM,11987611648.0,Financial Services
UNP,154685292544.0,Industrials
UPS,101161500672.0,Industrials
USFD,22278535168.0,Consumer Defensive
VITL,1272044160.0,Consumer Defensive
VNO,6239510528.0,Real Estate
VOYA,7090590208.0,Financial Services
VTR,40486035456.0,Real Estate
WBS,11468723200.0,Financial Services
WELL,146767953920.0,Real Estate
WERN,1988262912.0,Industrials
WLK,12837577728.0,Basic Materials
WSFS,3652353792.0,Financial Services
WSO,16996679680.0,Industrials
WTFC,10296723456.0,Financial Services
WTS,10957435904.0,Industrials
XYL,31202723840.0,Industrials
